Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000028116	0.668359802892471	9.55902693017228e-06	0.0495213481782321	0.194022307536941	0.66761639429658
ENSG00000148842	-0.540894541894253	0.00101393719703654	1	0.326999364784792	0.825744550706701
ENSG00000126264	0.536814438834374	0.542187169481586	1	0.834907317702791	0.999982593374402
ENSG00000175161	-1.48466724341832	0.158265118181454	NA	0.653034856509014	0.999982593374402
ENSG00000124615	-0.222829073206856	0.167340155786831	1	0.659369272543236	0.999982593374402
ENSG00000183248	-0.834696975447107	0.119853911520328	1	0.62324471126318	0.995165351771438
ENSG00000180182	-0.00884269998289259	0.959302127338261	1	0.984523750845826	0.999982593374402
ENSG00000151849	-0.289617661702202	0.0429488378295347	1	0.53118496884782	0.970211403706596
ENSG00000113391	-0.201139284507044	0.172699697676731	1	0.662968047978691	0.999982593374402
ENSG00000112343	-0.750977247047938	0.644259635013423	NA	0.872210627801083	0.999982593374402
ENSG00000187815	-0.126121780083548	0.692804231798276	1	0.889502932613246	0.999982593374402
ENSG00000177479	0.358494930614301	0.00113296622284455	1	0.331317083309045	0.830499915758993
ENSG00000255587	0.648798853757523	0.19528119281555	1	0.677543179537309	0.999982593374402
ENSG00000182264	1.75357050213368	0.0829429330399957	1	0.58717678723103	0.987518188558701
ENSG00000273703	1.13184880742629	0.239861306659303	NA	0.703425434040079	0.999982593374402
ENSG00000157017	-1.00524380150902	0.359706184689457	NA	0.762128115315874	0.999982593374402
ENSG00000105048	0.104989797775617	0.866914122864837	1	0.951168917752302	0.999982593374402
ENSG00000258052	-0.351336365329287	0.00168514328681616	1	0.347422512042353	0.846670022373147
ENSG00000106686	-0.402651731381733	0.27035052379541	1	0.719620826634838	0.999982593374402
ENSG00000177119	-1.06438526203319	5.8882248077474e-26	4.56525767541669e-23	0.00267749384348615	0.0615707297624246
ENSG00000165949	-0.803365702198755	0.0623493949796643	1	0.561782599256032	0.979700215881364
ENSG00000133048	-1.6104228123851	6.81428375852997e-05	0.399771621167755	0.240157358352363	0.729544039683568
