Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000064726	0.058052735	0.53738505	1	0.661836217	0.988228232
ENSG00000166503	-1.39745766	5.34e-08	4.37e-05	0.003205454	0.07426175
ENSG00000169594	1.894997214	7.08e-08	6.01e-05	0.003483885	0.077832493
ENSG00000215644	-2.603966927	0.192204209	NA	0.404962416	0.910382404
ENSG00000180828	-1.425019561	0.069430169	1	0.268127493	0.803494336
ENSG00000185624	0.617390484	2.07e-10	9.79e-08	0.000658999	0.026397709
ENSG00000141522	0.006739514	0.961499553	1	0.965896139	0.99957234
ENSG00000149262	-0.230397007	0.062032425	1	0.256742659	0.791909744
ENSG00000141552	-0.078926182	0.648671149	1	0.736725914	0.995548754
ENSG00000185813	-0.487213326	0.010302341	1	0.135294878	0.599517693
ENSG00000187531	0.196972547	0.046306848	1	0.229726996	0.762202506
ENSG00000078902	0.247653642	0.024925444	1	0.183814868	0.691722654
ENSG00000183010	-0.431284629	0.09520411	1	0.303367417	0.837100959
ENSG00000169696	0.016964536	0.860148823	1	0.88793173	0.998294162
ENSG00000169689	-0.245992878	0.085292403	1	0.290674317	0.824223753
ENSG00000169683	0.066555819	0.630496093	1	0.724865065	0.994363499
ENSG00000182208	0.086902592	0.554838127	1	0.673659396	0.989625605
ENSG00000179222	-0.273947765	4.11e-05	0.071989163	0.022795035	0.246372482
ENSG00000169710	0.071783221	0.901297276	1	0.918026791	0.99957234
ENSG00000269891	-0.539842306	0.002845488	1	0.087428523	0.493772981
ENSG00000213390	-0.539842306	0.002845488	1	0.087428523	0.493772981
ENSG00000169718	0.436231583	0.071599173	1	0.271306264	0.806963201
ENSG00000169727	0.215335043	0.391772164	1	0.561809174	0.968215948
ENSG00000171307	0.059085048	0.750382774	1	0.808274156	0.995906554
ENSG00000169733	0.276489292	0.319448961	1	0.508431368	0.956105343
ENSG00000155229	0.282258523	0.014261677	1	0.151319995	0.631613355
ENSG00000141526	1.55211766	3.94e-08	3.13e-05	0.002939186	0.069942724
ENSG00000141551	0.170495599	0.000655779	1	0.054429644	0.386704268
ENSG00000141574	3.381052501	3.69e-27	1.75e-25	2.16e-08	8.56e-06
ENSG00000181396	0.574044374	8.07e-05	0.156156694	0.028101796	0.275170559
ENSG00000141542	-1.032693185	2.78e-06	0.003445362	0.010115075	0.154676653
ENSG00000172476	-1.032693185	2.78e-06	0.003445362	0.010115075	0.154676653
ENSG00000102128	-1.032693185	2.78e-06	0.003445362	0.010115075	0.154676653
ENSG00000165886	-0.088974329	0.541349625	1	0.664264802	0.988717092
ENSG00000165887	-0.070697719	0.929518599	1	0.939262724	0.99957234
ENSG00000141580	0.149041162	0.018316677	1	0.165106318	0.656898072
ENSG00000167363	-0.049132379	0.923220582	1	0.934312772	0.99957234
ENSG00000241935	2.396934409	8.41e-10	4.55e-07	0.000979264	0.034337473
ENSG00000155252	0.099443407	0.401124229	1	0.568189071	0.970857586
ENSG00000166024	0.537994636	9.01e-05	0.17786843	0.029111359	0.279487523
ENSG00000138131	0.416379928	0.202432828	1	0.414459258	0.913637956
ENSG00000107521	0.384886567	3.26e-05	0.055567374	0.021259318	0.236436621
ENSG00000119946	-2.84476447	3.16e-05	0.053722497	0.021067005	0.235201954
ENSG00000120053	-0.298077149	0.077988826	1	0.280646577	0.81494999
ENSG00000198018	-0.423109419	4.7e-05	0.083938795	0.0237591	0.25196179
ENSG00000119929	0.144301457	0.444536883	1	0.598602531	0.976511034
ENSG00000107554	0.129170254	0.340309083	1	0.523932147	0.960945225
ENSG00000107566	0.010637008	0.95432396	1	0.959832183	0.99957234
ENSG00000213341	0.22117891	0.031806052	1	0.200315967	0.720340891
ENSG00000095485	0.039929921	0.81656125	1	0.85534343	0.996332353
ENSG00000099194	0.705832091	0.004299162	1	0.100482534	0.524554986
ENSG00000166136	0.11686512	0.360553468	1	0.538961987	0.964647675
ENSG00000255339	0.11686512	0.360553468	1	0.538961987	0.964647675
ENSG00000095539	1.614234633	8.68e-09	5.83e-06	0.001896811	0.05349209
ENSG00000055950	0.341445807	0.001635851	1	0.072813867	0.453234468
ENSG00000107815	0.193314402	0.293740231	1	0.489078844	0.949273329
ENSG00000107819	-0.159590354	0.13939449	1	0.353893252	0.877445338
ENSG00000107821	-1.313560918	1.62e-09	9.36e-07	0.001180278	0.038758394
ENSG00000166167	-0.181479775	0.217401633	1	0.427355295	0.921042809
ENSG00000166169	0.085444649	0.607709624	1	0.709919893	0.991787104
ENSG00000107831	-2.670380081	NA	NA	0.397265639	0.904094581
ENSG00000198408	0.159356993	0.347529471	1	0.529218571	0.963079577
ENSG00000120049	-1.011485916	0.219678181	1	0.429502846	0.921042809
ENSG00000198728	-0.190232924	0.072843312	1	0.273024016	0.809472566
ENSG00000107862	-0.057481654	0.589917368	1	0.697767172	0.990957385
ENSG00000077150	0.282442666	0.012828524	1	0.145829982	0.621481161
ENSG00000107872	0.179610172	0.361891685	1	0.539895489	0.964907041
ENSG00000138111	-0.270227705	0.054437845	1	0.244279944	0.778424984
ENSG00000138107	-0.034618215	0.753516472	1	0.810429348	0.995906554
ENSG00000107882	-0.385997419	2.81e-06	0.00349043	0.010150013	0.154753108
ENSG00000213614	-0.84011377	7.27e-06	0.010053796	0.013448316	0.184336182
ENSG00000260729	-0.84011377	7.27e-06	0.010053796	0.013448316	0.184336182
ENSG00000166233	0.22910244	0.017365008	1	0.162109369	0.650819059
ENSG00000140463	-0.257869915	0.390506804	1	0.560851976	0.968131709
ENSG00000159322	-0.44652801	0.036639033	1	0.21087934	0.735784767
ENSG00000137817	0.723929005	7.29e-05	0.139244701	0.027242629	0.270370966
ENSG00000144791	-0.010289558	0.947249954	1	0.953439137	0.99957234
ENSG00000211456	0.046734454	0.744311754	1	0.804030348	0.995548754
ENSG00000163820	0.371256752	0.000617047	1	0.053381713	0.382855163
ENSG00000163818	-0.096939971	0.479264761	1	0.622489232	0.981149025
ENSG00000092377	0.181948399	0.13968458	1	0.354182427	0.87785016
ENSG00000101849	0.181948399	0.13968458	1	0.354182427	0.87785016
ENSG00000091656	-1.002296169	9.15e-05	0.18082698	0.029241919	0.280315961
ENSG00000158423	0.646116572	0.010312149	1	0.135349875	0.599517693
ENSG00000072506	-0.172347885	0.08419645	1	0.289160144	0.823051689
ENSG00000086758	0.076454722	0.612434928	1	0.713118766	0.991906727
ENSG00000184083	-0.173245371	0.11377979	1	0.3259928	0.85479776
ENSG00000158526	-0.65812285	0.001410493	1	0.069395432	0.44242199
ENSG00000102302	-0.269954113	0.077615325	1	0.28005084	0.814878605
ENSG00000130119	-0.609780564	1.74e-05	0.027144064	0.017537918	0.2129286
ENSG00000102316	-0.47260222	0.020044951	1	0.170416374	0.666404799
ENSG00000169188	-0.387307025	0.049209408	1	0.235058723	0.768494705
ENSG00000158578	-1.424019439	0.286221883	1	0.483167933	0.946804015
ENSG00000158571	0.080001508	0.779085034	1	0.828186752	0.996332353
ENSG00000067445	1.025642638	0.029250664	1	0.194421401	0.7107038
ENSG00000163686	0.229426061	0.031963348	1	0.200685412	0.720730532
ENSG00000136068	0.612729804	1.19e-08	8.28e-06	0.002077613	0.05649042
ENSG00000163687	3.285892267	0.0006669	1	0.054718896	0.387848563
ENSG00000148606	0.184366205	0.047721104	1	0.232410556	0.764872256
ENSG00000130066	0.979846768	8.8e-05	0.172951903	0.028890885	0.278668447
ENSG00000123130	0.577758948	4.62e-07	0.00047576	0.005994655	0.110400687
ENSG00000123131	-0.264861713	0.000985851	1	0.061859905	0.416318115
ENSG00000149177	-0.029912683	0.884850497	1	0.907179971	0.998709045
ENSG00000172530	0.27692341	0.058025647	1	0.250392795	0.784108317
ENSG00000174990	-2.289864307	NA	NA	0.531704977	0.963201378
ENSG00000105855	-0.179558454	0.513390133	1	0.645446486	0.986379164
ENSG00000105866	0.039454546	0.911063995	1	0.925797085	0.99957234
ENSG00000206190	-0.271172534	0.263237198	1	0.464877822	0.940285517
ENSG00000114062	0.147899096	0.360985835	1	0.539278197	0.964740964
ENSG00000142619	1.675698569	2.92e-08	2.26e-05	0.00269747	0.066198987
ENSG00000142623	1.641578997	2.41e-18	3.28e-16	4.59e-06	0.0006378
ENSG00000159339	1.086681975	0.001648353	1	0.07300515	0.453605599
ENSG00000126012	0.481593183	3.08e-14	8.35e-12	5.99e-05	0.004189759
ENSG00000101850	-2.94147722	NA	NA	0.371537948	0.886442131
ENSG00000126524	0.618012021	9.87e-09	6.72e-06	0.001968384	0.054781074
ENSG00000154710	0.218660658	0.051219445	1	0.238688828	0.772218102
ENSG00000170439	1.25212996	0.04996258	1	0.236431899	0.769894094
ENSG00000135424	0.625927707	0.126279717	1	0.33982127	0.86684832
